,name,iata_code
654,White River Seaplane Base,YWR
655,Parry Sound Area Municipal Airport,YPD
656,Brockville - Thousand Islands Regional Tackaberry Airport,XBR
657,Kingfisher Lake Airport,KIF
658,Ogoki Post Airport,YOG
659,Virgilio Barco Vargas (La Chorrera) Airport,LCR
660,Las Cruces Airport,SNT
661,Tarapacá Airport,TCD
662,Bar River Airport,YEB
663,Cape Orford Airport,CPI
664,Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,YSI
665,Poplar Hill Airport,YHP
666,Keewaywin Airport,KEW
667,Cóbano Airport,ACO
668,Reef Hueston Helicopter Landing,XVQ
669,Kirby Lake Airport,KFM
670,Sable Island Landing Strip,YSA
671,Lebel-sur-Quevillon Airport,YLS
672,Snap Lake Airport,YNX
673,La Sarre Airport,SSQ
674,Chisasibi Airport,YKU
675,Tête-à-la-Baleine Airport,ZTB
676,Kégashka Airport,ZKG
677,Chute-Des-Passes/Lac Margane Seaplane Base,YWQ
678,Carutapera Airport,CTP
679,Donaldson Airport,YAU
680,La Romaine Airport,ZGS
681,Fontanges Airport,YFG
682,La Tabatière Airport,ZLT
683,Culion Airport,CUJ
684,Hollister Municipal Airport,HLI
685,Cape Vogel Airport,CVL
686,Chitina Airport,CXC
687,Lefkoniko Airport / Geçitkale Air Base,GEC
688,Arctic Bay Airport,YAB
689,Cat Lake Airport,YAC
690,La Grande-3 Airport,YAR
691,Fort Frances Municipal Airport,YAG
692,La Grande-4 Airport,YAH
693,Alert Bay Airport,YAL
694,Sault Ste Marie Airport,YAM
695,Kasabonika Airport,XKS
696,Kangirsuk Airport,YKG
697,Attawapiskat Airport,YAT
698,St. Anthony Airport,YAY
699,Tofino / Long Beach Airport,YAZ
700,Banff Airport,YBA
701,Kugaaruk Airport,YBB
702,Baie-Comeau Airport,YBC
703,Bella Coola Airport,QBC
704,Uranium City Airport,YBE
705,Bonnyville Airport,YBY
706,CFB Bagotville / Saguenay-Bagotville Airport,YBG
707,Baker Lake Airport,YBK
708,Campbell River Airport,YBL
709,Tadoule Lake Airport,XTL
710,Brandon Municipal Airport,YBR
711,Brochet Airport,YBT
712,Berens River Airport,YBV
713,Lourdes-de-Blanc-Sablon Airport,YBX
714,Cartwright Airport,YRF
715,Cambridge Bay Airport,YCB
716,Cornwall Regional Airport,YCC
717,Nanaimo Airport,YCD
718,Centralia / James T. Field Memorial Aerodrome,YCE
719,Castlegar/West Kootenay Regional Airport,YCG
720,Miramichi Airport,YCH
721,Chatham Kent Airport,XCM
722,Charlo Airport,YCL
723,Cochrane Airport,YCN
724,Kugluktuk Airport,YCO
725,Chetwynd Airport,YCQ
726,Cross Lake (Charlie Sinclair Memorial) Airport,YCR
727,Chesterfield Inlet Airport,YCS
728,Coronation Airport,YCT
